Company,Sector,ESG Topic,Extracted Claim,Sentiment Score,Specificity Score,Greenwashing Risk Score,Doc,Page
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P25
In addition, we are continuing to develop Data strategy and EPC data
a retrofit product tailored to support enhancement
landlords who specifically want to
Retrofitting the current UK property
purchase lower-rated EPC properties stock through EPC improvements
and then improve the properties’
Electrification and decarbonisation of
energy efficiency.
heat mainly through heat pump uptake
During 2024, we performed a Reducing the emissions of
scenario analysis assessment on our electricity generation
decarbonisation pathway to 2030.
",1.0,0.89,0.538,LSE_PAG_2024_business_esg.pdf,25
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P26
The ongoing challenge Our ability to implement and finance real firm commitments and financial support
change is subject to a number of external from government are needed for the
The greenhouse gas emissions from the factors where we have reduced or little financial services industry to be able to
UK’s residential housing stock account control and/or influence. The assets we support real change.
for around 20%* of the UK’s emissions fund are specific to certain sectors and
annually. These emissions need to be industries, and c",1.0,0.84,0.563,LSE_PAG_2024_business_esg.pdf,26
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P10
Progressing our responsible business agenda
In our 2023 Responsible Business Report, we set out our areas of focus where we believed we could make a significant and positive
difference in terms of sustainability.
Here we summarise the progress we’ve made, with further details given throughout the report.
Focus area Progress to date
Reducing our Reduce our operational footprint emissions Our commitment to be operationally net zero by 2030
operational to be net zero by 2030 stands firm and we have achieved a 48% reduction in
impa",1.0,0.8,0.695,LSE_PAG_2024_business_esg.pdf,10
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P18
Our priorities
We are always looking at how we can further improve the environmental performance of our sites across the UK, the majority of which are
office locations that have limited environmental impacts.
Our approach to being operationally net zero by 2030 acknowledges the direct control and influence we have, and our responsibilities in
addressing them.
Decarbonisation Emissions Control, influence Progress Next steps
lever impact and dependencies
Removal of gas from our High High control Decarbonisation Project due to com",1.0,0.8,0.695,LSE_PAG_2024_business_esg.pdf,18
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Our mortgage portfolio The scale of reduction highlights the
transition pathway sector-wide challenge and uncertainty
which lie ahead. The articulation of our
In 2015, the Paris Agreement - a legally decarbonisation pathway outlines our
binding international treaty on climate maturing understanding of climate
change - committed to pursue efforts change and how it can contribute to our
to limit global warming to 1.5 degrees future sustainable product development
Celsius, compared to pre-industrial whilst sustaining our robust, long-term
levels. Aligned to that commitment, we business model.
are",1.0,0.8,0.711,LSE_PAG_2024_business_esg.pdf,24
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P9
Our 2024 highlights
95% 70%
of electricity of waste diverted from landfill
48%
from renewable
sources
reduction in market-based
emissions compared to the
2019 baseline
53.4% Launched our
refurb-to-let
proposition
of new mortgage lending to landlords
was to EPC A-C properties
supported by our range
4.7/5
of mortgage
products
Trustpilot score
460 days
Increased funding available of volunteering
to our property developer for good causes
customers through the
Green Homes Initiative to Appointed a team of ‘Green
£300m Champions’ to p",0.881,0.79,0.419,LSE_PAG_2024_business_esg.pdf,9
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P29
Motor finance Green Bond
During the year we have provided In 2021, we became the first bank in the
£17m of finance on electric and plug-in UK to issue a subordinated Tier 2 Green I G nv re e e s n to B r o R n e d p ort
hybrid vehicles, supporting the roll-out Bond, raising £150m. The proceeds from M P a a y r 2 a 0 g 2 o 4 n Banking Group PLC
of lower carbon vehicles in the UK’s the bond have been allocated exclusively
second hand motor market. to fund newly originated buy-to-let
mortgages secured on EPC A-B rated
The transiti",0.993,0.71,0.736,LSE_PAG_2024_business_esg.pdf,29
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P19
Our approach to carbon offsetting
Within the scope of our operational We are clear that our offsetting • alignment with Paragon’s strategy,
footprint, we expect there to be some approach is supported by a purpose and values
emissions we cannot completely commitment to reduce our emissions
reduce and we plan to offset those to across our operational footprint and New technologies are evolving
achieve net zero. our offsetting principles are fully which will help businesses to reduce
aligned to our net zero strategy. their emissio",1.0,0.7,0.667,LSE_PAG_2024_business_esg.pdf,19
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P17
Reductions to date We offer employees access to a Green Specialist Fleet Services (SFS), which
Car Scheme, which is a salary sacrifice Paragon acquired in 2015, provides local
In 2022, we established a 2019 baseline benefit providing access to lower authority customers with vehicle hire
year for the ongoing measurement of emission vehicles in a tax efficient way, and fleet services including servicing,
the environmental performance of our and we’re always working with our maintenance and breakdown support.
operational footprint",1.0,0.65,0.772,LSE_PAG_2024_business_esg.pdf,17
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P23
Measuring our Alongside our mortgage portfolio Although high level estimates can
financed emissions emissions, we have disclosed the be made to assess the scale of those
emissions of our motor vehicle loans financed emissions not captured below,
Although measuring Scope 3 financed across the motor finance and SME accurate and reportable emissions
emissions is a challenge given the lending portfolios. Our approach uses for year-on-year tracking are not yet
reliance on external and open-source the PCAF methodology, the most widel",0.731,0.65,0.63,LSE_PAG_2024_business_esg.pdf,23
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P3
Responsible business is key
Deborah Bateman is our Sustainability Committee Chair
and External Relations Director
As Chair of Paragon’s Sustainability As you’ll see throughout this report,
Committee, I’m proud to introduce our we’ve made real progress in key areas
2024 Responsible Business Report. across our strategy:
It highlights the progress we’ve made
over the last year and outlines our • Lending against the most energy
approach for the future, including how efficient properties remains healthy,
we’re setting out a pathway t",0.998,0.64,0.675,LSE_PAG_2024_business_esg.pdf,3
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P28
Commercial Lending In the meantime, our focus is on During 2024, we established a team of
encouraging the development of new Green Champions to provide specialist
Across our Commercial Lending division, energy-efficient buildings, including support to SME customers looking to
we provide specialist secured finance to future-proofing properties so they improve their sustainability performance.
a wide range of small and medium-sized meet broader environmental objectives
businesses and property developers and standards. Green inves",1.0,0.59,0.756,LSE_PAG_2024_business_esg.pdf,28
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P4
Sustainability in conversation
Robert East (Chair) and Nigel Terrington (Chief Executive) discuss our latest sustainability issues
Third, keep sustainability embedded as
a strategic priority at Paragon, making
sure it’s a consideration in every business
decision we make.
Robert: This year, Nigel and his team
have set out a pathway to supporting
the UK’s 2050 net zero ambition (pages
13-29). It is an important step for us
and sets out the journey we plan to
take, with specific ambitions around
our operational impact and financed
",0.993,0.56,0.781,LSE_PAG_2024_business_esg.pdf,4
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P13
Environment
ENVIRONMENTAL
APPROACH
We’ll tackle climate challenges
by using our expertise to
inform and influence policy,
collaborating to be innovative
with solutions, and keeping
sustainability embedded
as a strategic priority at
Paragon, making sure it’s
a consideration in every
business decision we make.
Nigel Terrington
Chief Executive
Making a positive contribution to net
zero continues to be a focus for us in
addressing climate change. We are fully
aligned with the UK’s commitment to
achieve net zero by 2050, and being
t",0.731,0.56,0.687,LSE_PAG_2024_business_esg.pdf,13
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P20
Supply chain emissions
Our principal suppliers comprise an
outsourced savings administrator, legal
and professional services providers,
building lessors and IT service providers.
They all have a similarly low operational
and climate change impact.
Throughout the year we have
continued to engage with suppliers
at the onboarding stage to better
understand their maturity across
various sustainability topics, including
environmental impacts. Using our new
third party platform, new high and
critical suppliers are asked to complete
a",0.881,0.56,0.724,LSE_PAG_2024_business_esg.pdf,20
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P46
Our approach to managing the properties were not considered
at risk and that underwriting controls
climate change risk
focused on mitigating flood risk were
appropriate and robust. The Group is
Climate change is designated as a principal
yet to experience a loss attributable to
risk, with information and measures
flooding and our customers are required
on climate change risk and broader
to have valid property insurance in place
sustainability issues considered at
throughout the duration of the loan.
Board level, and prioritised",0.0,0.56,0.554,LSE_PAG_2024_business_esg.pdf,46
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P15
During 2024, we undertook a scoping exercise to identify the emissions most material to us. This exercise, which was fully aligned with GHG
Protocol, found that Scope 3 Category 15 emissions – essentially emissions from our lending activities – are considered the most material. It
also identified that some of these emissions can be excluded due to their low materiality or more appropriately accounted for elsewhere.
Our material emissions and reporting across our value chain
Emissions source Materiality Status Longer term net
ze",0.5,0.45,0.718,LSE_PAG_2024_business_esg.pdf,15
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P22
Our approach
To plot a clear pathway to net zero,
we need to fully understand our financed
emissions and we’ve prioritised setting
out a transition journey across the
sectors in which there is a reliable,
recognised and traceable view
of emissions.
Currently we are focussing on our
mortgage portfolio which makes up
over 85% of our loan book and is where
we have relevant data that can measure
emissions. We use a four-step approach
to establish our transition pathway.
This is an evolving process and we will
follow this approach f",1.0,0.44,0.816,LSE_PAG_2024_business_esg.pdf,22
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P2
Contents
Welcome to our 2024 Responsible Business
Report, which summarises the progress we’ve
made on the most important sustainability
issues for our business and stakeholders.
It includes our key sustainability disclosures and outlines how we achieve
our purpose through the lens of being a responsible business and doing the
right things. It applies to the period 1 October 2023 to 30 September 2024.
Our financial disclosures and further details around our
broader business performance are included in our Annual
Report and Accoun",0.982,0.36,0.87,LSE_PAG_2024_business_esg.pdf,2
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P8
Our sustainability strategy
We are committed to doing the right things – for our customers, our people, our shareholders and the communities in which we
operate – while continuing to build a resilient, strong and successful business.
Reflecting that, our sustainability strategy focuses on taking action in the areas where we believe we can make a positive difference.
Environmental Social Governance
Reducing our own emissions Financing a greener world Making a difference Being a responsible business
We are committed to Delivering ",1.0,0.04,0.986,LSE_PAG_2024_business_esg.pdf,8
LSE_PAG_2024_business_esg,Unknown,Labor Practices,"Home Introduction About Paragon Environment Society Governance P35
Recruiting and retaining the
right people How our new starters
describe Paragon
Our people really matter and that’s
why we take so much pride and care in Welcoming
building our team. Our selection and We continue to be an accredited
recruitment processes focus on people employer with the Living Wage
Professional
who represent and reflect our purpose, Foundation. All our employees are paid
culture and values, and are aligned to our at least the real Living Wage – an hourly
Supportive
strategic priorities. rate calculated accordi",0.881,0.68,0.582,LSE_PAG_2024_business_esg.pdf,35
LSE_PAG_2024_business_esg,Unknown,Water & Effluents,"Home Introduction About Paragon Environment Society Governance P49
Human rights
Paragon operates exclusively in the
UK and, as such, we are subject to the
European Convention on Human Rights
and the UK Human Rights Act 1998.
We take steps to anticipate, prevent
and mitigate any potential negative
human rights impacts as well as enhance
positive impacts through our policies
and procedures. This particularly
relates to employment, equality and
diversity, treating customers fairly, and
information security. Click here to
read more about our approach to
Human Rights.
Modern slavery and
human traff",0.269,0.46,0.556,LSE_PAG_2024_business_esg.pdf,49
Samsung_Electronics_Sustainability_Report_2025,Unknown,Business Ethics & Compliance,"Activities Compliance and Ethics Whistleblowing Channel Corruption Risk Review Process
Samsung Electronics receives reports through various whistleblowing Samsung Electronics operates a systemic risk review process in order
Compliance and Ethics Audits
systems such as internal/external whistleblowing channels, email, to prevent corruption. Our External Sponsorship Council conducts
Samsung Electronics conducts compliance and ethics audits at all our
telephone, and fax, operating all systems (except telephone) 24/7. preliminary reviews of all external sponsorships of KRW 10 million or
business s",0.002,0.38,0.493,Samsung_Electronics_Sustainability_Report_2025.pdf,60
Samsung_Electronics_Sustainability_Report_2025,Unknown,Data Security & Privacy,"Samsung Dream Class Blue Elephant SME & Startup Support
Samsung Dream Class is an education program designed to support, Blue Elephant is an education and support program that aims to Smart Factory Support Initiative
with the support and participation of Samsung employees, middle and prevent and heal youth cyberbullying and cyber violence. The program Through the Smart Factory Support Initiative, approximately 170 of
high school students in Korea who face barriers to educational access helps students who are victims or perpetrators of cyberbullying Samsung's experts in a variety of fields, inc",0.731,0.53,0.622,Samsung_Electronics_Sustainability_Report_2025.pdf,52
Samsung_Electronics_Sustainability_Report_2025,Unknown,Data Security & Privacy,"Activities International Security Certification Robust Security Environment
Samsung Electronics works to provide our customers with products Samsung Knox Platform
Privacy Protection Training
and services safe from external data breach attempts in addition Samsung Knox is a security platform that prevents hacking and
All employees from top management to contract/hourly workers must
to protecting our own information assets. To this end, we receive unauthorized access through a multi-layer security system from the
complete an annual privacy protection training. Employees handling
internationally ",0.5,0.38,0.692,Samsung_Electronics_Sustainability_Report_2025.pdf,54
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Activities Fuel Reduction
RCS Treatment Process
We are actively promoting operational optimization, waste heat
DS Division GHG Reduction (2024) recovery, and the development of non-fuel-based equipment to reduce
(1) Pre-treatment fuel usage within our sites. In particular, the latest lines are designed
(4) Primary acid
● Process gas treatment facility operation 74% scrubber scrubber to recover waste heat from chillers year-rounds, significantly reducing
Treats highly
Primary treatment LNG consumption for preheating outdoor air in air handling units.
● Improvement of process efficiency, use of ",1.0,0.95,0.467,Samsung_Electronics_Sustainability_Report_2025.pdf,24
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Material Topic Management
Samsung Electronics identifies the impacts of selected material topics on the company, and reports on company activities to manage these topics.
2025 Material Topics UN SDGs Governance Strategy Risk Management (Policy) Activities (Major Progress)
‧ S ustainability Committee under the Board of ‧ D X Division: net zero Scope 1 and 2 emission by 2030 ‧ I dentify key risks and opportunities due · R educe direct emissions, expand renewable
Climate Change Directors oversees sustainability management ‧ D S Division: net zero Scope 1 and 2 emission by 2050 to climate change a",0.5,0.9,0.46,Samsung_Electronics_Sustainability_Report_2025.pdf,8
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Activities Indirect GHG Emission Reduction We transition 100% of our Chinese manufacturing site's power usage
The DX Division has set a goal to transition 100% of the power usage at to renewable energy since 2022 through renewable energy PPAs
Direct GHG Emission Reduction
all its business sites to renewable energy by 2027. In 2024, we signed (solar) and REC purchases. We intend to expand PPAs by signing wind
The DX Division prioritizes activities to minimize GHG emissions from new PPAs (Power Purchase Agreements) for domestic manufacturing power PPAs.
our facilities, such as improving energy e",1.0,0.85,0.652,Samsung_Electronics_Sustainability_Report_2025.pdf,14
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Message from Our CEO
Dear Shareholders, Customers, Partners, and Employees,
The year 2024 has been marked by rapid industrial changes, including The DS (Device Solutions) Division aims to achieve net zero Scope 1 Additionally, in 2024, Samsung Electronics supported the ""Samsung
global geopolitical risks and advancements in AI technology. and 2 emissions emissions by 2050, continuing its investment in the SW·AI Academy for Youth"", a flagship corporate social responsibility
Competition across industries has intensified, and new technologies are Regenerative Catalytic System (RCS) for integrated ",0.953,0.8,0.678,Samsung_Electronics_Sustainability_Report_2025.pdf,4
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Value Chain Carbon Reduction Product Life Cycle Assessment (LCA)
We support carbon reduction activities across the value chain, including Life Cycle Assessment (LCA) is used to quantitatively evaluate potential Collaborative Efforts on Climate Action
partners, consumers, and others, to minimize carbon emissions environmental impacts that may occur throughout the entire lifecycle We strive to contribute to climate change response by engaging with
throughout the product lifecycle—from materials, production, of a product, from the processing of raw materials and components to various stakeholders",1.0,0.8,0.66,Samsung_Electronics_Sustainability_Report_2025.pdf,15
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"We also practice resource circularity in our product packaging and Recognition of Circular Resources
Amount of Collected e-waste
reduce our environmental impact by replacing plastic and vinyl with Since 2024, we are pursuing the Korean Ministry of Environment’s
recycled materials, as well as making our packaging smaller and (Base year: 2009, Units: 10,000 tonnes) 690.9 Quality Mark Certification for Circular Resources which recognizes
629.7
lighter. valuable waste material not hazardous to human health or the
569.8
Mid-to Long-Term Roadmap, Recycled/Recyclable Material Expansion environment as",0.999,0.8,0.686,Samsung_Electronics_Sustainability_Report_2025.pdf,17
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Governance and Major Progress
DS Division
Climate Change / Circular Economy / Water / Pollution
Governance Major Progress
The DS Division recognizes that environment is a critical area significantly
influencing its business operations. The Sustainability Committee under 2024 Progress and 2025 Targets
the Board of Directors, the highest decision-making body of Samsung Environmental Targets 2024 Progress 2025 Targets
Electronics, and the ESG Management Council chaired by the DS Division's
Climate 2050 · A chieved Scope 1 and 2 emissions of: 14.55 · A chieve Scope 1 and 2 emissions of: 14.5 milli",1.0,0.8,0.495,Samsung_Electronics_Sustainability_Report_2025.pdf,21
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Environmental Performance
GHG Emission Management (Scope 1 and 2)1), 2) 2022 2023 2024 GHG Emission Management (Scope 3)1),2) 2022 2023 2024
(Market based) GHG emissions 1,000 tonnes CO₂e 15,053 13,291 14,889 Other indirect emissions (Scope 3) 1,000 tonnes CO₂e 115,960 106,971 105,612
Direct emissions (Scope 1) 1,000 tonnes CO₂e 5,972 3,733 4,725 Purchased products and services 1,000 tonnes CO₂e 13,540 11,514 10,827
Indirect emissions (Scope 2) 1,000 tonnes CO₂e 9,081 9,558 10,164 Capital goods 1,000 tonnes CO₂e 2,155 3,059 2,249
Fuel- and energy-related activities
(Region based) GHG emissions",0.731,0.8,0.353,Samsung_Electronics_Sustainability_Report_2025.pdf,68
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Minimizing Air Pollutant Emissions Chemical Safety Management
Minimizing Leakage Risks
We manage our air pollutant emissions to ensure full compliance with At Samsung Electronics, all chemicals used across our global facilities ‧ E stablish detection and response system for leaks in interiors/exteriors,
legal requirements1) by adhering to strict internal standards. We apply are strictly restricted based on national regulations and the company’s rainwater drainage pipes, and outer fences
‧ F ocus on research related to chemical mixing risks to prevent relevant
optimal prevention technologies re",0.119,0.77,0.51,Samsung_Electronics_Sustainability_Report_2025.pdf,33
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Governance and Major Progress
DX Division
Climate Change / Circular Economy / Water / Pollution
Governance Major Progress
The Board of Directors of Samsung Electronics is our highest decision2024 Progress and 2025 Targets
making body, and the Sustainability Committee under the Board
approves and oversees environmental strategies, goals, and major Environmental Targets 2024 Progress 2025 Target
activities related to climate change and resource circularity. In 2022, the
Climate 2030 · A chieved Scope 1 and 2 emissions of: 340k · A chieve Scope 1 and 2 emissions of: 320k
Sustainability Committee ",1.0,0.75,0.637,Samsung_Electronics_Sustainability_Report_2025.pdf,11
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Water
DX Division
Climate Change / Circular Economy / Water / Pollution
Strategy We recognize droughts, floods, and ecosystem imbalance as water Our Suwon, Gumi, and Gwangju manufacturing sites in Korea and SEV,
resource risks and establishes and implements response strategies SEVT, SEHC1) subsidiaries in Vietnam obtained the highest level of
The DX Division pursues sustainable water resource usage through systemic
for each. To prepare for droughts, we developed an Emergency ‘Platinum’ certification from the Alliance for Water Stewardship2) (AWS)
water resource management, water replenishment ",0.0,0.75,0.388,Samsung_Electronics_Sustainability_Report_2025.pdf,18
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Expansion of Resource Reuse Wafer Tray Recycled plastic from wafer trays discarded during The First Circular Resource Use Product Certification in the Korean
Circular Resource Utilization of Manufacturing Consumables semiconductor production has been applied to the side and volume Manufacturing Industry
Chemical Mechanical Polishing (CMP) Retainer Ring We are buttons of the Galaxy S25 series. These discarded and recycled wafer The ""Circular Resource Use Product Labeling System,"" newly established
expanding the circular structure for consumables generated during trays are fostering collaboratio",0.881,0.75,0.495,Samsung_Electronics_Sustainability_Report_2025.pdf,28
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Biodiversity Management Biodiversity Enhancement Activities
Protected Areas (WDPA)1)
Survey and Analysis of Nearby Natural Environment at Manufacturing Sites We are making efforts to positively impact biodiversity. Following
· No Protected Areas within a 2㎞ Radius of Korean manufacturing sites
The ecosystem expected to be most impacted by our activities is the · P rotected area coverage of 0.2~2.4% within a 5㎞ radius, mostly urban the AR3T1) framework of the Science Based Targets Network (SBTN),
aquatic ecosystem. We regularly survey the natural environment natural parks we review and implemen",0.982,0.72,0.644,Samsung_Electronics_Sustainability_Report_2025.pdf,31
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Value Chain Carbon Reduction Semiconductor Product Carbon Reduction We developed SOCAMM21), a server module optimized for AI computing
We operate an internal consultative body to strengthen Scope 3 based on LPDDR, and provides the best high-performance, lowSemiconductor Product LCA Process
indirect emissions management, establishing specific reduction power solutions for the AI era through SSD products based on PCIe2)
We established an LCA process based on ISO 14040, 14044, and 14067
targets and developing implementation plans to systematically 5th generation with a 5nm controller. The mobile ",1.0,0.7,0.705,Samsung_Electronics_Sustainability_Report_2025.pdf,26
Samsung_Electronics_Sustainability_Report_2025,Unknown,GHG Emissions,"Waste Management 2022 2023 2024 Workplace Environment Management 2022 2023 2024
Amount of waste generated Tonnes 1,413,365 1,314,923 1,348,979 Investment in EHS KRW 100 million 21,836 20,284 23,488
General waste Tonnes 931,929 881,175 910,510 Violations of environment-related laws
Cases 2 1 2
and regulations1)
Hazardous waste1) Tonnes 481,436 433,748 438,469
1) For details please refer to pg. 74 of the Sustainability Report
Amount of waste treated Tonnes 1,413,365 1,314,923 1,348,979
Recovered for recycling Tonnes 1,364,367 1,276,662 1,318,188
Pollutant Management 2022 2023 2024
Incineration (",0.5,0.7,0.505,Samsung_Electronics_Sustainability_Report_2025.pdf,70
